pais,escritorio_oms,fonte_dos_dados,data_ultima_atualizacao,data_inicio_vacinacao,total_cumulativo_doses_vacina,cumulativo_de_doses_por_100hab,cumulativo_de_pessoas_com_uma_dose,cumulativo_de_pessoas_com_uma_dose_por_100hab,cumulativo_de_pessoas_totalmente_vacinadas,cumulativo_de_pessoas_totalmente_vacinadas_por_100hab,vacinas_usadas,numero_de_tipos_de_vacina_usados,pessoas_com_dose_adicional,pessoas_com_dose_adicional_por_100hab
Afeganistão,EMRO,REPORTING,2023-05-21,2021-02-22,17479379.0,44.901,15203606,39.055,14502241,37.254,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,1223277.0,3.142
Albânia,EURO,REPORTING,2023-05-14,2021-01-13,3080679.0,107.0,1348396,47.379,1277987,44.905,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,SII - Covishield,Sinovac - CoronaVac",6.0,399190.0,14.027
Argélia,AFRO,REPORTING,2022-09-04,2021-01-30,15267442.0,34.817,7840131,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",4.0,575651.0,1.313
Samoa Americana,WPRO,REPORTING,2023-03-29,2020-12-21,114706.0,207.812,46206,83.711,42479,76.959,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,24160.0,43.77
Andorra,EURO,REPORTING,2023-04-09,2021-01-20,157038.0,203.2,57910,76.02,53496,70.226,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",4.0,43067.0,56.535
Angola,AFRO,REPORTING,2023-05-07,2021-03-10,25402678.0,77.291,15745756,47.909,8821410,26.84,SII - Covishield,1.0,2026768.0,6.167
Anguilla,AMRO,REPORTING,2023-05-05,2021-02-05,24604.0,164.005,10854,72.35,10380,69.191,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0,3046.0,20.304
Antígua e Barbuda,AMRO,REPORTING,2023-05-05,2021-03-01,136512.0,139.399,64290,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0,9838.0,10.046
Argentina,AMRO,REPORTING,2022-10-07,2020-12-29,109652736.0,242.617,41324100,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0,30810184.0,68.17
Armênia,EURO,REPORTING,2023-05-14,2021-01-27,2156999.0,72.8,1122040,37.865,996169,33.618,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",10.0,44890.0,1.515
Aruba,AMRO,REPORTING,2023-05-05,2021-02-17,216905.0,203.159,90424,84.694,84253,78.914,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0,35659.0,33.399
Austrália,WPRO,REPORTING,2023-03-24,2021-02-21,65492360.0,256.834,22231907,87.184,21648824,84.898,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0,14368201.0,56.346
Áustria,EURO,REPORTING,2023-05-14,2020-12-30,20401515.0,229.2,6899733,77.625,6682197,75.072,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001",10.0,5405548.0,60.729
Azerbaijão,EURO,REPORTING,2023-05-14,2021-01-20,13822539.0,136.3,5434010,53.594,4886266,48.192,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0,3502265.0,34.542
Bahamas,AMRO,REPORTING,2023-05-05,2021-03-14,366359.0,93.163,174810,44.453,166972,42.46,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0,33717.0,8.574
Bahrein,EMRO,REPORTING,2022-12-21,2020-11-04,3476633.0,204.319,1241174,72.943,1226796,72.098,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,1008663.0,59.278
Bangladesh,SEARO,REPORTING,2023-05-23,2021-01-27,358694968.0,217.801,151327605,91.887,139912306,84.955,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0,67455057.0,40.959
Barbados,AMRO,REPORTING,2023-05-05,2021-01-08,381715.0,132.828,163845,57.014,155036,53.949,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,62834.0,21.865
Bielorrússia,EURO,REPORTING,2023-04-16,2021-02-03,21205264.0,224.4,6438808,68.14,6354262,67.246,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Unknown Vaccine",5.0,5699425.0,60.316
Bélgica,EURO,REPORTING,2023-05-14,2020-12-30,29117995.0,252.7,9254335,80.316,9158096,79.481,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,7244556.0,62.873
Belize,AMRO,REPORTING,2023-05-05,2021-03-01,510696.0,128.436,258443,64.996,221402,55.681,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,50177.0,12.619
Benin,AFRO,REPORTING,2022-12-18,2021-03-29,4232541.0,34.913,3697190,30.497,2742837,22.625,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0,,
Bermuda,AMRO,REPORTING,2023-05-05,2021-01-11,132042.0,212.037,48554,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,31829.0,51.112
Butão,SEARO,REPORTING,2022-10-30,2021-03-27,2011426.0,260.68,699116,90.605,677669,87.826,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,634641.0,82.249
Bolivia (Plurinational State of),AMRO,REPORTING,2023-05-05,2021-01-30,15966592.0,136.782,7488170,64.149,6291246,53.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0,2474734.0,21.2
Bonaire,AMRO,REPORTING,2023-05-05,,43070.0,205.929,17460,83.481,16189,77.404,NaN,,8125.0,38.848
"Bonaire, Santo Eustáquio and Sabá",AMRO,OWID,2021-09-01,,35845.0,137.934,19109,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0,,
Bósnia e Herzegovina,EURO,REPORTING,2022-01-29,,1924950.0,58.7,943394,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",4.0,,
Botsuana,AFRO,REPORTING,2023-05-07,2021-03-26,3171667.0,134.871,1951054,82.966,1663490,70.738,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0,507654.0,21.587
Brasil,AMRO,REPORTING,2023-05-05,2021-01-17,509835734.0,239.856,187249676,88.093,170557580,80.24,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0,109913632.0,51.71
Ilhas Virgens Britânicas,AMRO,REPORTING,2023-05-05,2021-02-11,41453.0,137.094,19466,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",3.0,3726.0,12.323
Brunei Darussalam,WPRO,REPORTING,2023-04-28,2021-04-03,1291978.0,295.323,451032,103.098,446630,102.092,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",5.0,340379.0,77.805
Bulgária,EURO,REPORTING,2023-05-14,2020-12-30,4617676.0,66.4,2108296,30.329,2080070,29.923,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,832410.0,11.975
Burkina Faso,AFRO,REPORTING,2023-03-19,2021-06-02,6674010.0,31.928,5152110,24.647,4129254,19.754,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0,,
Burundi,AFRO,REPORTING,2023-05-07,2021-10-18,37417.0,0.315,35150,0.296,34562,0.291,Beijing CNBG - BBIBP-CorV,1.0,308.0,0.003
Cabo Verde,AFRO,REPORTING,2022-09-25,2021-03-18,859940.0,154.669,356734,64.162,308720,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0,749.0,0.135
Cambodja,WPRO,REPORTING,2023-05-12,2021-02-10,46942467.0,280.774,15286524,91.432,14658527,87.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0,10635032.0,63.611
Camarões,AFRO,REPORTING,2023-05-07,2021-04-12,4735141.0,17.838,3656503,13.774,3107836,11.707,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0,765051.0,2.882
Canadá,AMRO,REPORTING,2023-05-05,2020-12-14,97303025.0,257.81,32645232,86.495,31311576,82.962,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0,19770935.0,52.384
Ilhas Cayman,AMRO,REPORTING,2023-05-05,2021-01-15,151822.0,231.013,62085,94.469,60664,92.307,Pfizer BioNTech - Comirnaty,1.0,24064.0,36.616
República Centro-Africana,AFRO,REPORTING,2023-04-30,2021-03-19,2893159.0,59.903,2381935,49.318,2266531,46.928,"Bharat - Covaxin,SII - Covishield",2.0,226816.0,4.696
Chade,AFRO,REPORTING,2023-04-02,2021-06-04,8543941.0,52.015,6254729,38.079,6127422,37.303,Beijing CNBG - BBIBP-CorV,1.0,4042573.0,24.611
Chile,AMRO,REPORTING,2023-05-05,2020-12-21,65788462.0,344.15,18102348,94.696,17712317,92.656,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0,15754069.0,82.412
China,WPRO,REPORTING,2023-03-23,2020-07-22,3515872818.0,238.966,1317994878,89.581,1284413713,87.299,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",8.0,833820382.0,56.673
Colômbia,AMRO,REPORTING,2023-05-05,2021-02-17,90506612.0,177.872,43012174,84.532,37019801,72.755,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0,14792792.0,29.072
Comores,AFRO,REPORTING,2022-10-02,2021-04-10,835021.0,96.023,438825,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3.0,,
Congo,AFRO,REPORTING,2022-07-31,2021-03-23,833210.0,15.1,695760,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",4.0,,
Ilhas Cook,WPRO,REPORTING,2023-01-31,2021-05-17,40080.0,228.194,15112,86.04,14728,83.853,Pfizer BioNTech - Comirnaty,1.0,10240.0,58.301
Costa Rica,AMRO,REPORTING,2023-05-05,2020-12-24,13148135.0,258.104,4633174,90.951,4347590,85.345,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,2926735.0,57.453
Costa do Marfim,AFRO,REPORTING,2023-02-19,2021-03-01,25263932.0,95.776,13568372,51.438,12164304,46.115,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,3138712.0,11.899
Croácia,EURO,REPORTING,2023-05-14,2020-12-23,5432534.0,133.9,2320087,57.205,2246484,55.357,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0,994329.0,24.502
Cuba,AMRO,REPORTING,2023-05-05,,38066013.0,336.076,10736398,94.789,10013394,88.406,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",3.0,8724326.0,77.025
Curaçao,AMRO,REPORTING,2023-05-05,2021-02-24,260324.0,158.644,108601,66.183,100885,61.48,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,43138.0,26.289
Chipre,EURO,REPORTING,2023-05-14,2020-12-23,1858796.0,209.3,669185,75.366,656113,73.886,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0,487363.0,54.883
República Tcheca,EURO,REPORTING,2023-05-14,2020-12-23,18614118.0,174.1,6972084,65.197,6887797,64.408,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Moderna – Spikevax Bivalent Original/Omicron BA.4/BA.5,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",9.0,4365578.0,40.823
República Democrática do Congo,AFRO,REPORTING,2023-04-16,2021-04-19,16398195.0,18.309,15388889,17.183,12873681,14.374,SII - Covishield,1.0,,
Dinamarca,EURO,REPORTING,2023-05-14,2020-12-16,15002820.0,257.7,4771581,81.947,4736323,81.342,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0,3638964.0,62.495
Djibouti,EMRO,REPORTING,2023-04-18,2021-03-15,392703.0,39.747,372077,37.66,351712,35.598,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,,
Dominica,AMRO,REPORTING,2023-05-05,2021-02-12,67647.0,93.966,32995,45.832,30659,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,3993.0,5.547
República Dominicana,AMRO,REPORTING,2023-05-05,2021-02-16,15964027.0,147.162,7319510,67.474,6092990,56.167,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0,2551527.0,23.521
Equador,AMRO,REPORTING,2023-02-24,2021-01-20,39495110.0,223.856,15329151,86.885,14233323,80.674,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4.0,7708466.0,43.691
Egito,EMRO,REPORTING,2023-05-21,2021-01-24,112673535.0,110.103,56907319,55.609,42337175,41.371,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0,15217352.0,14.87
El Salvador,AMRO,REPORTING,2023-05-05,2021-02-17,11418655.0,176.045,4655023,71.768,4392340,67.718,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0,1895934.0,29.23
Guiné Equatorial,AFRO,REPORTING,2022-07-24,2021-02-12,488738.0,34.836,270109,19.252,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2.0,4597.0,0.328
Eritreia,AFRO,REPORTING,2022-07-03,,,,0,0.0,0,0.0,NaN,,,
Estônia,EURO,REPORTING,2023-04-16,2020-12-23,2204078.0,165.8,845066,63.588,842103,63.365,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Moderna – Spikevax Bivalent Original/Omicron BA.4/BA.5,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",9.0,487178.0,36.658
Essuatíni,AFRO,REPORTING,2023-05-07,2021-03-19,853821.0,73.595,526050,45.343,422499,36.417,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3.0,172398.0,14.86
Etiópia,AFRO,REPORTING,2023-05-07,2021-03-13,54041862.0,47.008,44073766,38.337,37637944,32.739,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",4.0,2855358.0,2.484
Falkland Islands (Malvinas),AMRO,REPORTING,2022-06-21,,9390.0,269.595,3220,92.449,2976,85.444,AstraZeneca - AZD1222,1.0,2543.0,73.012
Ilhas Faroe,EURO,OWID,2022-02-18,,103894.0,212.614,41715,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0,21284.0,43.557
Fiji,WPRO,REPORTING,2023-03-23,2021-03-07,1554370.0,173.393,711950,79.419,641068,71.512,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3.0,171594.0,19.142
Finlândia,EURO,REPORTING,2023-05-14,2020-12-23,13261002.0,240.0,4547283,82.299,4364702,78.995,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0,3087911.0,55.887
França,EURO,REPORTING,2023-05-14,2020-12-23,158014193.0,234.7,54673588,81.214,53184085,79.002,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Moderna – Spikevax Bivalent Original/Omicron BA.4/BA.5,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine",9.0,41033495.0,60.953
Guiana Francesa,AMRO,REPORTING,2023-05-05,2021-01-13,242092.0,81.053,100271,33.571,90446,30.282,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,46312.0,15.505
Polinésia Francesa,WPRO,REPORTING,2023-01-31,2021-01-18,471948.0,168.008,190908,67.961,186803,66.5,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0,81177.0,28.898
Gabão,AFRO,REPORTING,2023-02-05,2021-03-23,572672.0,25.73,311244,13.984,257471,11.568,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3.0,2592.0,0.116
Gâmbia,AFRO,REPORTING,2023-03-19,2021-03-10,1444492.0,59.772,674314,27.903,539186,22.311,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0,53741.0,2.224
